TaskId,Subject,OpportunityId,Status,DueDate
00T000000401,Task 401,006000000000206,Deferred,2024-09-09 15:02:29
00T000000402,Task 402,006000000000109,In Progress,2023-05-11 00:18:00
00T000000403,Task 403,006000000000439,Completed,2023-06-14 11:12:00
00T000000404,Task 404,006000000000277,Deferred,2023-07-15 20:27:50
00T000000405,Task 405,006000000000450,Not Started,2024-01-18 08:09:29
00T000000406,Task 406,006000000000055,Deferred,2023-05-31 16:29:14
00T000000407,Task 407,006000000000374,In Progress,2023-10-11 02:06:12
00T000000408,Task 408,006000000000402,Not Started,2024-01-27 07:14:35
00T000000409,Task 409,006000000000056,Deferred,2023-09-08 04:05:18
00T000000410,Task 410,006000000000427,Deferred,2024-05-30 01:58:39
00T000000411,Task 411,006000000000481,Deferred,2024-03-20 02:04:39
00T000000412,Task 412,006000000000290,Deferred,2024-03-29 12:54:05
00T000000413,Task 413,006000000000113,Not Started,2024-03-21 08:33:26
00T000000414,Task 414,006000000000380,In Progress,2023-06-30 13:36:51
00T000000415,Task 415,006000000000384,Deferred,2023-01-22 08:42:13
00T000000416,Task 416,006000000000307,Not Started,2024-10-11 16:17:57
00T000000417,Task 417,006000000000340,In Progress,2023-10-13 16:17:31
00T000000418,Task 418,006000000000476,Deferred,2024-09-24 08:40:36
00T000000419,Task 419,006000000000197,In Progress,2023-04-19 19:56:39
00T000000420,Task 420,006000000000420,In Progress,2023-06-23 21:52:20
00T000000421,Task 421,006000000000320,Not Started,2023-03-26 17:38:25
00T000000422,Task 422,006000000000178,In Progress,2024-08-11 00:24:14
00T000000423,Task 423,006000000000384,Not Started,2023-03-06 15:16:21
00T000000424,Task 424,006000000000218,Deferred,2024-12-28 22:52:40
00T000000425,Task 425,006000000000276,In Progress,2024-10-27 06:53:16
00T000000426,Task 426,006000000000436,In Progress,2024-07-08 01:12:50
00T000000427,Task 427,006000000000015,Completed,2024-12-14 00:34:07
00T000000428,Task 428,006000000000491,Deferred,2023-10-20 02:56:32
00T000000429,Task 429,006000000000378,Deferred,2024-12-17 17:15:44
00T000000430,Task 430,006000000000060,Completed,2024-04-17 08:18:52
00T000000431,Task 431,006000000000053,Completed,2024-02-07 05:17:54
00T000000432,Task 432,006000000000167,Not Started,2024-02-07 05:52:41
00T000000433,Task 433,006000000000025,Not Started,2023-01-21 17:17:08
00T000000434,Task 434,006000000000335,In Progress,2023-03-23 15:01:54
00T000000435,Task 435,006000000000475,In Progress,2023-08-10 01:39:52
00T000000436,Task 436,006000000000064,In Progress,2024-05-14 16:19:51
00T000000437,Task 437,006000000000099,In Progress,2024-11-21 18:21:54
00T000000438,Task 438,006000000000073,Not Started,2024-07-13 07:49:44
00T000000439,Task 439,006000000000191,Deferred,2023-04-13 13:11:26
00T000000440,Task 440,006000000000170,In Progress,2024-11-27 04:19:56
00T000000441,Task 441,006000000000272,Deferred,2024-06-03 23:25:25
00T000000442,Task 442,006000000000376,In Progress,2023-03-11 15:23:24
00T000000443,Task 443,006000000000186,Completed,2024-03-13 01:45:26
00T000000444,Task 444,006000000000022,In Progress,2024-08-11 07:14:27
00T000000445,Task 445,006000000000390,In Progress,2023-07-16 17:02:43
00T000000446,Task 446,006000000000427,In Progress,2023-10-25 15:43:39
00T000000447,Task 447,006000000000180,Not Started,2024-03-15 12:56:12
00T000000448,Task 448,006000000000326,Completed,2024-05-27 07:55:13
00T000000449,Task 449,006000000000107,In Progress,2023-11-12 09:37:24
00T000000450,Task 450,006000000000334,In Progress,2023-06-22 19:32:07
00T000000451,Task 451,006000000000161,Deferred,2024-10-29 18:43:02
00T000000452,Task 452,006000000000301,Completed,2024-04-30 00:59:27
00T000000453,Task 453,006000000000492,In Progress,2023-12-25 06:44:38
00T000000454,Task 454,006000000000451,Deferred,2023-04-24 13:19:01
00T000000455,Task 455,006000000000205,Deferred,2023-12-02 16:59:30
00T000000456,Task 456,006000000000077,Not Started,2024-03-09 00:33:56
00T000000457,Task 457,006000000000015,Deferred,2024-02-20 06:38:04
00T000000458,Task 458,006000000000326,In Progress,2023-06-21 02:39:44
00T000000459,Task 459,006000000000095,Not Started,2023-06-16 07:12:22
00T000000460,Task 460,006000000000146,Not Started,2024-10-04 20:53:28
00T000000461,Task 461,006000000000001,In Progress,2023-11-04 09:35:12
00T000000462,Task 462,006000000000009,Completed,2023-01-11 17:50:52
00T000000463,Task 463,006000000000433,Deferred,2024-11-17 10:15:29
00T000000464,Task 464,006000000000124,Not Started,2023-01-07 22:45:38
00T000000465,Task 465,006000000000080,Completed,2024-06-24 07:52:50
00T000000466,Task 466,006000000000484,In Progress,2024-01-25 05:17:43
00T000000467,Task 467,006000000000139,Deferred,2024-10-18 05:05:10
00T000000468,Task 468,006000000000325,Deferred,2024-01-17 20:32:53
00T000000469,Task 469,006000000000149,Not Started,2023-09-16 09:05:02
00T000000470,Task 470,006000000000287,Deferred,2023-02-10 19:29:45
00T000000471,Task 471,006000000000360,Deferred,2024-01-14 20:33:45
00T000000472,Task 472,006000000000339,Deferred,2023-08-31 03:51:22
00T000000473,Task 473,006000000000128,Deferred,2023-11-09 16:25:55
00T000000474,Task 474,006000000000437,In Progress,2023-12-12 12:47:04
00T000000475,Task 475,006000000000238,Completed,2024-12-06 17:14:56
00T000000476,Task 476,006000000000057,In Progress,2024-02-23 08:58:02
00T000000477,Task 477,006000000000197,In Progress,2024-01-15 09:19:42
00T000000478,Task 478,006000000000210,Not Started,2023-05-24 15:32:17
00T000000479,Task 479,006000000000401,Deferred,2024-09-10 13:53:02
00T000000480,Task 480,006000000000389,In Progress,2023-02-11 16:15:57
00T000000481,Task 481,006000000000044,Deferred,2023-09-26 21:04:35
00T000000482,Task 482,006000000000096,In Progress,2024-12-13 00:34:26
00T000000483,Task 483,006000000000278,In Progress,2024-12-17 08:15:12
00T000000484,Task 484,006000000000022,Not Started,2024-05-12 22:52:52
00T000000485,Task 485,006000000000409,Completed,2024-07-03 02:59:50
00T000000486,Task 486,006000000000460,Completed,2024-01-23 20:34:25
00T000000487,Task 487,006000000000390,In Progress,2023-11-08 05:53:56
00T000000488,Task 488,006000000000334,Not Started,2023-05-16 02:52:37
00T000000489,Task 489,006000000000043,Deferred,2023-12-13 11:39:38
00T000000490,Task 490,006000000000026,Deferred,2023-04-27 08:05:26
00T000000491,Task 491,006000000000281,In Progress,2023-04-14 01:50:08
00T000000492,Task 492,006000000000096,Completed,2024-01-14 13:35:34
00T000000493,Task 493,006000000000462,Not Started,2023-06-10 12:03:51
00T000000494,Task 494,006000000000035,Completed,2024-10-03 20:29:32
00T000000495,Task 495,006000000000108,Deferred,2024-03-15 00:46:59
00T000000496,Task 496,006000000000054,Completed,2024-03-08 19:20:05
00T000000497,Task 497,006000000000191,Deferred,2023-07-29 23:11:20
00T000000498,Task 498,006000000000218,Not Started,2024-04-20 14:05:56
00T000000499,Task 499,006000000000184,Not Started,2024-06-24 03:44:29
